date,ec_topic_0,ec_topic_1,ec_topic_2,ec_topic_3,ec_topic_4,ec_topic_5,ec_topic_6,ec_topic_7,ec_topic_8,ec_topic_9,wh_topic_0,wh_topic_1,wh_topic_2,wh_topic_3,wh_topic_4,wh_topic_5,wh_topic_6,wh_topic_7,wh_topic_8,wh_topic_9
2021-34,0.021221614,0.00036568777,0.08157147,0.015013506,0.031700544,0.13184883,0.07941161,0.010044484,0.6284566,0.00036566035,0.1391912,0.082370095,0.12133997,0.06991781,0.20378265,0.123307995,0.11437672,0.11939327,0.007904194,0.018416118
2021-35,0.0003864165,0.00038637628,0.00038640018,0.00038640475,0.016336227,0.0003864058,0.218495,0.00038640838,0.7624639,0.00038643414,0.077415235,0.05914462,0.13682257,0.09200605,0.24798422,0.1377746,0.09685681,0.09449019,0.02496731,0.032538336
2021-36,0.0003243385,0.00032434834,0.00032434106,0.00032433728,0.081406265,0.0003243353,0.00032436455,0.00032434682,0.90944934,0.0068740095,0.11734679,0.09037528,0.119610555,0.13260436,0.20888518,0.053273264,0.08465927,0.11964008,0.029596215,0.044009026
2021-37,0.041714046,0.016535195,0.07868879,0.057694204,0.064983115,0.008979006,0.04360487,0.017572954,0.6691739,0.0010538927,0.14533526,0.12877347,0.099121444,0.10875707,0.14372867,0.06810649,0.06319202,0.090483256,0.07714823,0.07535403
2021-38,0.3512427,0.009712775,0.11927139,0.022255087,0.00049991865,0.022472404,0.11359375,0.0004999127,0.3593228,0.0011292881,0.2856874,0.121192016,0.09744431,0.054863967,0.08257048,0.11142047,0.07408828,0.08528595,0.044360995,0.043086123
2021-39,0.010022178,0.00027261392,0.01953951,0.10971503,0.028898656,0.04724262,0.08219679,0.036704294,0.66418165,0.0012266933,0.13639207,0.24899274,0.08200434,0.055332158,0.14842984,0.027274812,0.08463155,0.12422853,0.024550708,0.06816321
2021-40,0.030410983,0.014876167,0.06708464,0.05593151,0.021405281,0.026434727,0.032606598,0.06208196,0.6690594,0.020108722,0.12362864,0.15760575,0.1429313,0.09820337,0.144764,0.06354713,0.042749073,0.120635174,0.019400474,0.08653514
2021-41,0.07039026,0.011269169,0.1383471,0.045919415,0.038164437,0.12299256,0.018340498,0.028827326,0.52519363,0.00055557286,0.24530551,0.08413641,0.09968625,0.08986297,0.104503155,0.07574808,0.08419235,0.10263977,0.024730597,0.08919493
2021-42,0.05059157,0.0054857987,0.08224048,0.011461436,0.0034379312,0.054047294,0.09995554,0.07300163,0.61780816,0.001970187,0.1072698,0.1466224,0.18761493,0.15236259,0.14075342,0.02443412,0.064981095,0.1154944,0.020841578,0.03962563
2021-43,0.05668497,0.00024833222,0.030632704,0.066394165,0.00024834063,0.0144261625,0.18352923,0.022354076,0.61735713,0.008124917,0.20556593,0.11818384,0.09008974,0.07203412,0.16616778,0.09235067,0.049607694,0.08336649,0.03698963,0.08564418
2021-44,0.12118403,0.0021299461,0.06393438,0.105205335,0.010705608,0.01397883,0.013706055,0.0024875903,0.6497569,0.016911367,0.15590173,0.14126565,0.087183505,0.10173878,0.07974355,0.034321327,0.099795625,0.058216035,0.10690969,0.1349241
2021-45,0.03434894,0.0017528805,0.14909069,0.050223004,0.003668245,0.15617965,0.09705492,0.0351683,0.45916942,0.013343965,0.17928793,0.07913583,0.13003217,0.12940778,0.14398964,0.0787762,0.046906486,0.058334783,0.03520074,0.1189285
2021-46,0.08336414,0.046729162,0.10837508,0.15309599,0.0017550829,0.11222345,0.065842524,0.0017407712,0.4261757,0.000698132,0.14782171,0.139648,0.12318935,0.12267206,0.10642975,0.055256892,0.056770094,0.13866253,0.013677182,0.09587242
2021-47,0.1748207,0.005137057,0.0140024815,0.03379733,0.02346015,0.1294586,0.22271563,0.028704334,0.3671306,0.0007730808,0.13109706,0.08503218,0.15531708,0.111358136,0.06783677,0.056792118,0.13569531,0.083895005,0.022247966,0.1507284
2021-48,0.103910364,0.0022381104,0.04906449,0.06400403,0.009680091,0.059630238,0.12840316,0.02112743,0.55959404,0.0023480149,0.14952707,0.08331002,0.14071985,0.10468484,0.09872027,0.03233344,0.17813282,0.11720911,0.0072833057,0.08807924
2021-49,0.03099711,0.025790172,0.12566184,0.07520889,0.013263538,0.07863044,0.13502048,0.045064274,0.44545957,0.024903722,0.12763433,0.11081611,0.16699883,0.07864239,0.13294509,0.13241483,0.050594345,0.12196846,0.018588873,0.059396673
2021-50,0.05405967,0.0023232352,0.027787056,0.017667374,0.03139941,0.13236472,0.1474866,0.0027853795,0.5795255,0.004601076,0.08581858,0.16225888,0.06924278,0.13719842,0.21255136,0.058176562,0.096367836,0.08684963,0.012283013,0.079252966
2021-51,0.13425292,0.028787266,0.0911935,0.047021672,0.014246638,0.00061794557,0.33301818,0.00050906476,0.34661844,0.003734365,0.09842103,0.10410235,0.12553535,0.04695336,0.17462757,0.07092259,0.15673105,0.11476916,0.013980734,0.0939568
2022-00,0.14531901,0.00024886668,0.100279145,0.07428754,0.0002488394,0.0002488521,0.0002488634,0.00024885443,0.6372891,0.041580867,0.0011767911,0.0011767553,0.0011767887,0.001176829,0.9894079,0.0011769871,0.001177046,0.0011771859,0.0011768311,0.0011768932
2022-01,0.03930079,0.000990544,0.009180933,0.0009906432,0.0009906443,0.036338445,0.2517233,0.103249826,0.4901772,0.06705768,0.057614677,0.14194004,0.15780063,0.104656994,0.14132228,0.08737956,0.09830274,0.11747621,0.022910312,0.07059657
2022-02,0.0020921826,0.07919636,0.34452444,0.0020921566,0.0020920502,0.37525934,0.0020922895,0.040706165,0.14985272,0.0020922748,0.06616253,0.17186062,0.077979475,0.075418785,0.18168265,0.08947003,0.11340974,0.12998517,0.014486122,0.0795449
2022-03,0.00057900336,0.025163222,0.2709542,0.09753941,0.012501895,0.026769886,0.04503084,0.0005789421,0.51369035,0.007192281,0.13270542,0.17349218,0.12216786,0.09425593,0.13135682,0.113979064,0.030555006,0.083185345,0.022369828,0.09593249
2022-04,0.045133796,0.00504512,0.23766206,0.051648084,0.012844804,0.19300832,0.0042495793,0.0040888805,0.4455922,0.000727191,0.11648718,0.124799244,0.09763994,0.07943603,0.13345659,0.11964931,0.041530937,0.12975872,0.029572917,0.1276692
2022-05,0.011331918,0.00045178962,0.11943735,0.037618108,0.06437379,0.21084523,0.08586571,0.013550131,0.44589615,0.010629835,0.06382826,0.1489504,0.15230976,0.11716154,0.14292072,0.11518808,0.06193222,0.12746322,0.01106511,0.059180733
