date,wh_topic_0,wh_topic_1,wh_topic_2,wh_topic_3,wh_topic_4,wh_topic_5,wh_topic_6,wh_topic_7,wh_topic_8,wh_topic_9
2021-29,0.13033348,0.21545757,0.07503689,0.12799594,0.15085758,0.074201524,0.067247026,0.109936826,0.004473867,0.04445927
2021-30,0.11283544,0.17876855,0.15845113,0.09260741,0.15116228,0.04541566,0.075319774,0.11527041,0.012909753,0.057259604
2021-31,0.0978755,0.2003518,0.13497569,0.06183512,0.14423068,0.048479777,0.10511368,0.066755116,0.017188076,0.12319452
2021-32,0.12500505,0.17279108,0.119084895,0.06190783,0.14589033,0.06939429,0.092957094,0.03592026,0.019148871,0.15790026
2021-33,0.08777741,0.14627443,0.060367927,0.024346549,0.16616057,0.22350565,0.094593,0.05729175,0.017681835,0.12200089
2021-34,0.13924271,0.082075514,0.12142374,0.06990643,0.20377685,0.123226434,0.11457381,0.119448565,0.007916026,0.018409943
2021-35,0.07743529,0.05919187,0.13681239,0.09226557,0.24801387,0.13777111,0.09682596,0.09421473,0.024993543,0.03247566
2021-36,0.11729532,0.09047741,0.11963692,0.13266563,0.20885915,0.05329491,0.08462188,0.1195426,0.02964157,0.043964617
2021-37,0.14535016,0.12877336,0.099115096,0.108839445,0.14370106,0.06819176,0.06316584,0.090337485,0.07708743,0.075438276
2021-38,0.2857947,0.1212139,0.0973939,0.054893117,0.08256418,0.111450315,0.074089445,0.08519093,0.0443196,0.04308986
2021-39,0.13807328,0.24932727,0.081991255,0.05554721,0.14722267,0.02484694,0.08463337,0.12399391,0.026221583,0.06814252
2021-40,0.12396187,0.15786824,0.14386287,0.09721012,0.14343043,0.063633285,0.042800225,0.12071948,0.019403318,0.08711015
2021-41,0.24549776,0.08413233,0.09970389,0.08987646,0.10449806,0.07573709,0.08415155,0.10269017,0.02473143,0.08898133
2021-42,0.107319996,0.14658806,0.18756658,0.15238966,0.14069788,0.024529723,0.06506836,0.11539654,0.020797472,0.039645735
2021-43,0.20410658,0.118179575,0.090126656,0.07204777,0.16616991,0.0941518,0.04957623,0.08285173,0.036957365,0.08583241
2021-44,0.15578204,0.1412515,0.08740574,0.10129972,0.07962415,0.034339655,0.09994176,0.05846357,0.10690558,0.13498625
2021-45,0.17928842,0.0793079,0.13006169,0.1293472,0.14548157,0.07879196,0.046900723,0.05667986,0.035213485,0.11892723
2021-46,0.14784776,0.139628,0.12319761,0.12268885,0.10645664,0.05526539,0.05677186,0.13867791,0.013675301,0.09579065
2021-47,0.1311457,0.08503371,0.15530346,0.111338854,0.06786787,0.05673255,0.13565515,0.08395788,0.022232035,0.15073279
2021-48,0.14956008,0.083294384,0.1411839,0.1047534,0.09870946,0.032285072,0.17912818,0.11575171,0.0072610583,0.08807274
2021-49,0.12778004,0.1105951,0.16691206,0.07866638,0.13306959,0.1324007,0.05059639,0.12192286,0.018554274,0.059502516
2021-50,0.08580907,0.16230737,0.06908049,0.1375464,0.21253657,0.058016635,0.09635927,0.08680713,0.012270572,0.07926651
2021-51,0.098387346,0.10409635,0.12556572,0.046918295,0.17465174,0.07091799,0.15673527,0.11479134,0.014000847,0.093935125
2021-52,0.05930378,0.099691905,0.17178774,0.13312821,0.0755834,0.20527908,0.119586386,0.1211193,0.009061128,0.005459068
2022-00,0.0011767915,0.0011767556,0.0011767889,0.0011768293,0.9894079,0.0011769873,0.0011770354,0.0011771861,0.0011768314,0.0011768936
2022-01,0.057793025,0.14193203,0.15758182,0.10458632,0.14080568,0.087360844,0.09837625,0.11790938,0.023020774,0.070633925
2022-02,0.0661584,0.17155309,0.07879072,0.07540134,0.18124072,0.08946699,0.11335535,0.12999377,0.014484572,0.07955507
2022-03,0.13281101,0.17345321,0.12199668,0.09401301,0.13132031,0.114005394,0.030693261,0.08359701,0.022254065,0.095855966
2022-04,0.11427554,0.12597498,0.09756976,0.079300925,0.13360618,0.12107486,0.040496875,0.1300204,0.029476719,0.12820381
2022-05,0.06375865,0.14873998,0.15219985,0.11728283,0.14353317,0.115203835,0.061559178,0.12747525,0.011043473,0.059203863
2022-06,0.14340432,0.14790645,0.066228345,0.058815192,0.0955368,0.20079316,0.043655213,0.112952314,0.026371546,0.10433664
2022-07,0.044576157,0.10733991,0.05863569,0.045772105,0.13488768,0.3558086,0.03776393,0.14928094,0.019228239,0.04670678
2022-08,0.060289517,0.107383765,0.036673505,0.030977437,0.1783538,0.36207083,0.011661955,0.12474457,0.03417821,0.05366628
2022-09,0.055565264,0.07892774,0.13091043,0.059847564,0.24265301,0.21625829,0.028168207,0.056471635,0.02289829,0.10829961
2022-10,0.098016754,0.12856418,0.12262357,0.07205356,0.16603929,0.17011546,0.018034108,0.08719295,0.033217732,0.104142465
